algorithm,omp_schedule,chunk,replication,time
stencil2d,auto,2,8,3.07707
mandelbrot,auto,2,9,1.72061
stencil2d,auto,2,9,2.83567
mandelbrot,auto,2,10,1.2264
stencil2d,auto,2,10,2.84221
mandelbrot,auto,4,1,1.23568
stencil2d,auto,4,1,2.51342
mandelbrot,auto,4,2,1.23441
stencil2d,auto,4,2,2.5563
mandelbrot,auto,4,3,1.23506
stencil2d,auto,4,3,2.57394
mandelbrot,auto,4,4,1.2344
stencil2d,auto,4,4,2.59871
mandelbrot,auto,4,5,1.23466
stencil2d,auto,4,5,2.5402
mandelbrot,auto,4,6,1.23481
stencil2d,auto,4,6,2.72335
mandelbrot,auto,4,7,1.6571
stencil2d,auto,4,7,2.49319
mandelbrot,auto,4,8,1.23435
stencil2d,auto,4,8,2.66049
mandelbrot,auto,4,9,1.23423
stencil2d,auto,4,9,2.67017
mandelbrot,auto,4,10,1.23486
stencil2d,auto,4,10,2.5041
mandelbrot,auto,8,1,1.23755
stencil2d,auto,8,1,2.33254
mandelbrot,auto,8,2,1.23773
stencil2d,auto,8,2,2.43806
mandelbrot,auto,8,3,1.23832
stencil2d,auto,8,3,2.35314
mandelbrot,auto,8,4,1.23799
stencil2d,auto,8,4,2.53423
mandelbrot,auto,8,5,1.71378
stencil2d,auto,8,5,2.41364
mandelbrot,auto,8,6,1.23808
stencil2d,auto,8,6,2.4051
mandelbrot,auto,8,7,1.23888
stencil2d,auto,8,7,2.37695
mandelbrot,auto,8,8,1.238
stencil2d,auto,8,8,2.46867
mandelbrot,auto,8,9,1.2381
stencil2d,auto,8,9,2.38317
mandelbrot,auto,8,10,1.2381
stencil2d,auto,8,10,2.33671
mandelbrot,auto,16,1,1.27553
stencil2d,auto,16,1,2.16938
mandelbrot,auto,16,2,1.27617
stencil2d,auto,16,2,2.26859
mandelbrot,auto,16,3,1.75086
stencil2d,auto,16,3,2.17573
mandelbrot,auto,16,4,1.27592
stencil2d,auto,16,4,2.11929
mandelbrot,auto,16,5,1.27559
stencil2d,auto,16,5,2.2487
mandelbrot,auto,16,6,1.27578
stencil2d,auto,16,6,2.17437
mandelbrot,auto,16,7,1.27498
stencil2d,auto,16,7,2.18297
mandelbrot,auto,16,8,1.27557
stencil2d,auto,16,8,2.2413
mandelbrot,auto,16,9,1.27537
stencil2d,auto,16,9,2.14671
